cod_produto,cod_categoria,ean,nome_produto,setor_gerenciado,setor_produto,sub_categoria,segmento,sub_segmento,fabricante,fabricante_varejista,marca,marca_verejista,marca_res,marca_detalhada,atributo,embalagem,unid_medida,tamanho_produto,tamanho_medida,tamanho_range,se_oferta,qtd_itens,dcr_oferta,desc_a,desc_b,desc_c,desc_d,desc_e,desc_f,desc_g,desc_h
1878,,1878,IMICA SUPER UTIL DESINFETANTE SEM VERSAO OUTROS AROMAS GARRAFA 2000 NAO PROMOCAO,,,,,,,,SUPER UTIL,,,,,,,,,,,,,,,,,,,,
1879,,1879,UIMICA SUPER UTIL DESINFETANTE SEM VERSAO OUTROS AROMAS GARRAFA 500 NAO PROMOCAO,,,,,,,,SUPER UTIL,,,,,,,,,,,,,,,,,,,,
1880,,1880,PER UTIL DESINFETANTE SEM VERSAO PINHO/PINHO SILVESTRE GARRAFA 2000 NAO PROMOCAO,,,,,,,,SUPER UTIL,,,,,,,,,,,,,,,,,,,,
1881,,1881,UPER UTIL DESINFETANTE SEM VERSAO PINHO/PINHO SILVESTRE GARRAFA 500 NAO PROMOCAO,,,,,,,,SUPER UTIL,,,,,,,,,,,,,,,,,,,,
1882,,1882,UTIL QUIMICA UTIL DESINFETANTE SEM VERSAO EUCALIPTO GARRAFA 2000 NAO PROMOCAO,,,,,,,,UTIL,,,,,,,,,,,,,,,,,,,,
1883,,1883,UTIL QUIMICA UTIL DESINFETANTE SEM VERSAO EUCALIPTO GARRAFA 500 NAO PROMOCAO,,,,,,,,UTIL,,,,,,,,,,,,,,,,,,,,
1884,,1884,UTIL QUIMICA UTIL DESINFETANTE SEM VERSAO EUCALIPTO GARRAFA 5000 NAO PROMOCAO,,,,,,,,UTIL,,,,,,,,,,,,,,,,,,,,
1885,,1885,TIL QUIMICA UTIL DESINFETANTE SEM VERSAO OUTROS AROMAS GARRAFA 1000 NAO PROMOCAO,,,,,,,,UTIL,,,,,,,,,,,,,,,,,,,,
1886,,1886,TIL QUIMICA UTIL DESINFETANTE SEM VERSAO OUTROS AROMAS GARRAFA 2000 NAO PROMOCAO,,,,,,,,UTIL,,,,,,,,,,,,,,,,,,,,
1887,,1887,UTIL QUIMICA UTIL DESINFETANTE SEM VERSAO OUTROS AROMAS GARRAFA 500 NAO PROMOCAO,,,,,,,,UTIL,,,,,,,,,,,,,,,,,,,,
1888,,1888,TIL QUIMICA UTIL DESINFETANTE SEM VERSAO OUTROS AROMAS GARRAFA 5000 NAO PROMOCAO,,,,,,,,UTIL,,,,,,,,,,,,,,,,,,,,
1889,,1889,ICA UTIL DESINFETANTE SEM VERSAO PINHO/PINHO SILVESTRE GARRAFA 2000 NAO PROMOCAO,,,,,,,,UTIL,,,,,,,,,,,,,,,,,,,,
1890,,1890,MICA UTIL DESINFETANTE SEM VERSAO PINHO/PINHO SILVESTRE GARRAFA 500 NAO PROMOCAO,,,,,,,,UTIL,,,,,,,,,,,,,,,,,,,,
4790,,4790,ATINSET AEROSOL S/APARELHO+NAO APLICA MATA TUDO 300 C/ EMBALAGEM PROMOCIONAL 1UN,,,,,,,,MATINSET,,,,,,,,,,,,,,,,,,,,
4791,,4791,TINSET AEROSOL S/APARELHO+NAO APLICA SEM VERSAO 300 C/ EMBALAGEM PROMOCIONAL 1UN,,,,,,,,MATINSET,,,,,,,,,,,,,,,,,,,,
