ean,nome_produto,sub_segmento
2500000048012,SUPER BILLION HAIR PO DISFARCE DE CALVICIE CASTANHO MEDIO 8 G x 1,
2500000048159,SUPER BILLION HAIR PO DISFARCE DE CALVICIE CINZA 8 G x 1,
2500000048104,SUPER BILLION HAIR PO DISFARCE DE CALVICIE LOIRO 25 G x 1,
2500000048081,SUPER BILLION HAIR PO DISFARCE DE CALVICIE LOIRO 8 G x 1,
7898227416291,SUPER DIVA CREME TRATAMENTO CAPILAR BANHO VERNIZ 500 G x 1,
7898617525336,SUPER PODEROSA KIT VOLUMEX BABOSA SHAMPOO + CONDICIONADOR 300ML CADA 600 ML x 1,
7898617524391,SUPER PODEROSA SPRAY CAPILAR VOLUMEX AGUA DE COCO 140 ML x 1,
7898617524759,SUPER PODEROSA SPRAY CAPILAR VOLUMEX MEL E PROPOLIS 140 ML x 1,
7898450020586,SUPER POP GEL FIXADOR CAPILAR PREMIUM INCOLOR 1 KG x 1,
7898450020104,SUPER POP POMADA MODELADORA CAPILAR BLACK 120 G x 1,
7898450020081,SUPER POP POMADA MODELADORA CAPILAR EFEITO MATTE 120 G x 1,
7898450020098,SUPER POP POMADA MODELADORA CAPILAR SUPER FORTE 120 G x 1,
9531114170,SUPER SCULPT CREME PENTEAR 250 ML x 1,
9531112817,SUPER SKINNY CREME TRATAMENTO CAPILAR 300 ML x 1,
9531109138,SUPER SKINNY SERUM CAPILAR 25 ML x 1,
9531112763,SUPER SKINNY SHAMPOO 300 ML x 1,
9531112855,SUPER SKINNY SPRAY SERUM PARA CABELOS INDOMAVEIS 150 ML x 1,
9531112985,SUPER STRONG DAILY CONDICIONADOR 300 ML x 1,
9531112930,SUPER STRONG DAILY SHAMPOO 300 ML x 1,
7896544701649,SURYA CONDICIONADOR CABELOS NORMAIS 300 ML x 1,
7896544701588,SURYA CONDICIONADOR CANELA CUPUACU 300 ML x 1,
7896544701755,SURYA CONDICIONADOR COCO/ UCUUBA 300 ML x 1,
7896544701748,SURYA CONDICIONADOR MARACUJA/COPAIBA 300 ML x 1,
7896544701731,SURYA CONDICIONADOR MORANGO BURITI 300 ML x 1,
7896544701564,SURYA CONDICIONADOR SURYA LARANJA E ANDIROBA 300 ML x 1,
7896544700178,SURYA HENNA MASCARA CAPILAR COLOR FIXATION 225 G x 1,
7896544701656,SURYA HENNA SHAMPOO NEUTRO 300 ML x 1,
7896544705227,SURYA MASCARA CAPILAR COCO E UCUUBA 300 G x 1,
